Campaign,Country,Device,Date,Spend,Revenue,Impressions,Clicks,Purchases
Brand Awareness,FR,mobile,2025-03-19,210.45,280.23,47133,1134,53
Holiday Push,FR,desktop,2025-03-19,164.84,569.14,39246,1026,50
Summer Sale,US,mobile,2025-03-20,162.48,703.69,34765,649,26
Retargeting,UK,desktop,2025-03-20,68.38,388.34,14193,152,10
Prospecting,FR,mobile,2025-03-20,175.1,372.92,33643,778,21
Brand Awareness,DE,mobile,2025-03-20,367.4,507.29,68189,1086,27
Holiday Push,US,mobile,2025-03-20,131.29,435.87,29141,383,22
Summer Sale,US,tablet,2025-03-21,149.05,520.32,32138,624,29
Retargeting,DE,desktop,2025-03-21,81.55,352.79,18888,439,21
Prospecting,UK,mobile,2025-03-21,188.4,380.62,35078,564,21
Brand Awareness,DE,desktop,2025-03-21,325.48,418.25,59922,1221,69
Holiday Push,UK,mobile,2025-03-21,127.5,406.32,28674,809,46
Summer Sale,UK,desktop,2025-03-22,135.36,477.66,30475,639,27
Retargeting,CA,desktop,2025-03-22,105.72,484.78,23118,311,17
Prospecting,CA,tablet,2025-03-22,291.85,565.36,67380,1515,57
Brand Awareness,DE,desktop,2025-03-22,301.71,397.94,59657,548,40
Holiday Push,US,desktop,2025-03-22,130.41,420.85,28466,272,19
Summer Sale,DE,desktop,2025-03-23,226.86,812.55,52551,1077,45
Retargeting,US,mobile,2025-03-23,114.54,647.33,20731,196,7
Prospecting,UK,tablet,2025-03-23,317.3,547.83,62568,1481,97
Brand Awareness,US,tablet,2025-03-23,282.41,357.94,59944,680,17
Holiday Push,US,desktop,2025-03-23,175.36,751.07,33199,504,27
Summer Sale,UK,mobile,2025-03-24,201.46,923.96,46494,431,10
Retargeting,US,mobile,2025-03-24,87.48,465.57,17369,422,27
Prospecting,FR,mobile,2025-03-24,281.19,546.94,53378,1546,79
Brand Awareness,US,desktop,2025-03-24,276.94,365.53,64362,1552,42
Holiday Push,US,desktop,2025-03-24,165.8,542.44,30479,721,39
Summer Sale,FR,mobile,2025-03-25,175.16,694.51,36779,752,31
Retargeting,US,mobile,2025-03-25,111.29,607.11,20802,505,10
Prospecting,US,tablet,2025-03-25,181.9,309.61,42785,510,39
Brand Awareness,FR,desktop,2025-03-25,354.56,461.9,77769,1006,35
Holiday Push,DE,tablet,2025-03-25,167.38,619.81,31327,714,16
Summer Sale,FR,desktop,2025-03-26,231.99,1151.33,42717,778,28
Retargeting,CA,mobile,2025-03-26,67.66,339.1,13676,197,13
Prospecting,CA,mobile,2025-03-26,244.59,456.41,51266,1281,40
Brand Awareness,US,desktop,2025-03-26,237.1,333.73,43018,856,49
Holiday Push,CA,mobile,2025-03-26,98.12,375.46,22659,543,14
Summer Sale,US,mobile,2025-03-27,171.34,852.38,40839,454,16
Retargeting,US,tablet,2025-03-27,111.45,572.89,24747,400,31
Prospecting,UK,tablet,2025-03-27,189.34,290.85,43396,418,22
Brand Awareness,FR,desktop,2025-03-27,383.56,411.81,75047,1120,76
Holiday Push,US,mobile,2025-03-27,136.03,437.53,32186,353,23
Summer Sale,DE,desktop,2025-03-28,137.41,565.48,27322,291,12
Retargeting,CA,mobile,2025-03-28,79.65,368.03,14910,170,10
Prospecting,UK,tablet,2025-03-28,207.25,426.26,39149,925,72
Brand Awareness,UK,tablet,2025-03-28,218.81,241.44,50152,593,45
Holiday Push,US,mobile,2025-03-28,160.84,521.09,33410,858,24
Summer Sale,US,tablet,2025-03-29,215.68,1080.71,40513,1058,44
Retargeting,UK,mobile,2025-03-29,94.65,563.31,17462,522,16
Prospecting,US,mobile,2025-03-29,188.8,387.05,43147,461,35
Brand Awareness,UK,mobile,2025-03-29,376.34,439.53,84099,1590,68
Holiday Push,CA,tablet,2025-03-29,127.73,534.93,25098,447,12
Summer Sale,US,desktop,2025-03-30,192.63,856.71,40439,1108,54
Retargeting,CA,mobile,2025-03-30,83.68,412.98,18289,467,16
Prospecting,CA,tablet,2025-03-30,323.41,647.78,65182,1302,63
Brand Awareness,FR,mobile,2025-03-30,267.89,291.95,48639,1028,22
Holiday Push,DE,mobile,2025-03-30,165.93,590.58,33425,696,23
Summer Sale,DE,tablet,2025-03-31,152.77,575.2,32390,822,52
Retargeting,DE,mobile,2025-03-31,108.71,620.37,21882,579,40
Prospecting,FR,tablet,2025-03-31,263.88,533.16,58543,1645,35
Brand Awareness,UK,tablet,2025-03-31,311.45,383.17,59578,1771,129
Holiday Push,CA,desktop,2025-03-31,123.96,444.55,22984,301,9
